nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.24171439,0.70056206,0.37691057,0.5448816,0.41378227,0.8234677,0.5858501,0.49162248,0.61043125,0.82756454,0.72924,0.43426654,0.78659594,0.84395194,0.74972427,0.5735596,0.78659594,0.7661117,0.9709544,0.5162036,0.98324496,0.70056206,0.92179215,0.5162036,0.99553555,0.6759809,neutral
0.25400496,0.70056206,0.39329797,0.5407847,0.4178791,0.8234677,0.589947,0.49162248,0.6227218,0.8357582,0.757918,0.43836337,0.7906928,0.8480488,0.7661117,0.61043125,0.77840227,0.74972427,0.9750513,0.5284942,0.99553555,0.72924,0.99963236,0.52030045,0.9873418,0.70875573,neutral
0.24581124,0.70465887,0.37691057,0.53259104,0.43426654,0.83166134,0.58175325,0.48752564,0.6227218,0.81527394,0.7415306,0.43016967,0.7456274,0.70465887,0.757918,0.5858501,0.77840227,0.7661117,0.96685755,0.5243973,0.9873418,0.72924,0.9135984,0.53259104,0.93817955,0.70875573,neutral
0.2581018,0.6964652,0.38100743,0.5530753,0.42197597,0.83166134,0.5858501,0.50391304,0.618625,0.8029834,0.74972427,0.45065394,0.7415306,0.68827146,0.7743054,0.589947,0.7743054,0.757918,0.9627607,0.5284942,0.9914387,0.72924,0.9095016,0.5162036,0.9791481,0.7128526,neutral
0.24581124,0.70056206,0.37691057,0.5448816,0.4260728,0.8357582,0.5858501,0.49981618,0.618625,0.80708027,0.74972427,0.44655707,0.73333687,0.6677872,0.77020854,0.5858501,0.7743054,0.7456274,0.9750513,0.5162036,0.9750513,0.72514313,0.90540475,0.5080099,0.9422764,0.71694946,neutral
0.22942382,0.6964652,0.3728137,0.53668785,0.40558854,0.8357582,0.5694627,0.4793319,0.6227218,0.7947897,0.74972427,0.4260728,0.7210463,0.7128526,0.76201487,0.5858501,0.7661117,0.76201487,0.9750513,0.5162036,0.99963236,0.70056206,0.99963236,0.5080099,0.9873418,0.70875573,neutral
0.24990809,0.70056206,0.38510427,0.5448816,0.4260728,0.82756454,0.589947,0.5080099,0.62681866,0.8111771,0.75382113,0.4547508,0.70875573,0.7210463,0.7743054,0.5858501,0.78659594,0.77020854,0.9627607,0.52030045,0.9873418,0.7210463,0.98324496,0.5284942,0.9914387,0.70875573,neutral
0.24990809,0.6923683,0.3728137,0.54897845,0.43016967,0.83166134,0.58175325,0.49162248,0.63910925,0.8111771,0.73743373,0.44655707,0.70056206,0.70056206,0.7743054,0.5735596,0.76201487,0.75382113,0.9627607,0.5243973,1.011923,0.7210463,0.92179215,0.5571721,0.9135984,0.6841746,neutral
0.27039236,0.70056206,0.39329797,0.5407847,0.44655707,0.82756454,0.5858501,0.49571934,0.6309155,0.82756454,0.7456274,0.46704134,0.73333687,0.7128526,0.78249913,0.58175325,0.78659594,0.7661117,0.9750513,0.5243973,0.99553555,0.6350124,1.0037292,0.5243973,0.88901734,0.7128526,neutral
0.26629552,0.70875573,0.39739484,0.5571721,0.43836337,0.8398551,0.589947,0.5080099,0.6350124,0.8357582,0.75382113,0.4629445,0.7456274,0.71694946,0.7743054,0.5858501,0.7661117,0.7661117,0.96685755,0.5284942,0.9914387,0.71694946,0.80708027,0.4711382,0.9791481,0.70875573,neutral
0.24171439,0.6923683,0.36871687,0.53668785,0.42197597,0.82756454,0.5858501,0.48752564,0.6227218,0.8193708,0.75382113,0.4629445,0.73743373,0.6923683,0.77020854,0.5858501,0.77020854,0.76201487,0.9791481,0.5121068,0.99553555,0.70465887,0.7906928,0.45884764,0.89311415,0.6841746,neutral
0.24581124,0.6964652,0.3728137,0.5407847,0.43836337,0.83166134,0.59814066,0.49162248,0.63910925,0.83166134,0.77020854,0.45884764,0.73333687,0.7415306,0.78659594,0.5735596,0.77020854,0.74972427,0.96685755,0.5121068,0.98324496,0.71694946,0.8808236,0.52030045,0.9463733,0.7210463,neutral
0.24581124,0.6964652,0.3728137,0.5448816,0.42197597,0.83166134,0.5694627,0.49981618,0.6309155,0.8234677,0.74972427,0.45884764,0.72924,0.6636903,0.757918,0.6063344,0.76201487,0.74972427,0.96685755,0.5243973,1.0201167,0.7128526,0.897211,0.5162036,0.99553555,0.6923683,neutral
0.26629552,0.70056206,0.38100743,0.54897845,0.43426654,0.82756454,0.6022375,0.5121068,0.6227218,0.81527394,0.757918,0.4711382,0.7456274,0.70056206,0.7661117,0.6022375,0.7743054,0.75382113,0.9627607,0.53259104,0.9873418,0.72514313,0.90540475,0.54897845,0.9791481,0.70465887,neutral
0.23761754,0.6759809,0.36462,0.5284942,0.42197597,0.82756454,0.5735596,0.49981618,0.6227218,0.8111771,0.74972427,0.45884764,0.72924,0.73333687,0.77020854,0.5776564,0.77840227,0.74972427,0.9709544,0.5121068,0.9791481,0.7210463,0.88901734,0.50391304,0.9914387,0.6964652,neutral
0.24581124,0.7128526,0.41378227,0.5448816,0.43016967,0.8193708,0.58175325,0.50391304,0.6145281,0.7947897,0.76201487,0.4793319,0.7210463,0.70875573,0.7661117,0.58175325,0.77840227,0.7661117,0.9709544,0.53259104,0.98324496,0.72514313,0.92179215,0.5448816,0.9914387,0.70056206,neutral
0.24990809,0.6964652,0.38510427,0.54897845,0.43016967,0.82756454,0.5858501,0.50391304,0.6145281,0.77840227,0.76201487,0.4629445,0.7415306,0.68827146,0.7743054,0.5776564,0.77840227,0.757918,0.96685755,0.53668785,0.9914387,0.7128526,0.88901734,0.53259104,0.9176953,0.6841746,neutral
0.24581124,0.6964652,0.37691057,0.53668785,0.4260728,0.8234677,0.5735596,0.49571934,0.59814066,0.8193708,0.7456274,0.4629445,0.70465887,0.70875573,0.7661117,0.5858501,0.77020854,0.74972427,0.9709544,0.5121068,1.0160198,0.7210463,0.89311415,0.53259104,0.9914387,0.70056206,neutral
