nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.22532697,0.49162248,0.2949735,0.4178791,0.3031672,0.44246024,0.42197597,0.54897845,0.42197597,0.5530753,0.49571934,0.6800778,0.50391304,0.6964652,0.53259104,0.29087663,0.5448816,0.2949735,0.7661117,0.35232943,0.78659594,0.35232943,0.9463733,0.33594203,0.9709544,0.3482326,serve
0.23352067,0.49571934,0.27858606,0.4178791,0.29087663,0.43016967,0.41378227,0.53259104,0.42197597,0.5694627,0.46704134,0.64320606,0.49162248,0.7128526,0.5448816,0.29907033,0.5407847,0.29087663,0.76201487,0.34413573,0.78659594,0.36871687,0.9299859,0.34413573,0.9709544,0.33184516,serve
0.22942382,0.50391304,0.29087663,0.4178791,0.2949735,0.43836337,0.4096854,0.5448816,0.4178791,0.561269,0.4547508,0.6964652,0.4711382,0.70465887,0.5448816,0.29087663,0.5448816,0.29087663,0.75382113,0.38510427,0.7661117,0.3564263,0.9299859,0.34413573,0.9586638,0.33594203,serve
0.2048427,0.5080099,0.27448922,0.43836337,0.2949735,0.4547508,0.4096854,0.49571934,0.4178791,0.56536585,0.43836337,0.6063344,0.47523507,0.70875573,0.5407847,0.2867798,0.5448816,0.2867798,0.75382113,0.36871687,0.7743054,0.3728137,0.9176953,0.3482326,0.96685755,0.3400389,serve
0.24171439,0.5530753,0.29087663,0.43426654,0.2949735,0.45065394,0.40558854,0.53668785,0.4178791,0.5530753,0.45065394,0.6063344,0.4793319,0.7128526,0.5407847,0.2867798,0.5571721,0.2949735,0.757918,0.4014917,0.77840227,0.3728137,0.92179215,0.3482326,0.9750513,0.33594203,serve
0.24581124,0.5530753,0.29907033,0.43836337,0.3113609,0.45884764,0.40558854,0.53259104,0.4260728,0.5448816,0.4629445,0.61043125,0.49162248,0.70875573,0.5448816,0.27448922,0.5407847,0.3031672,0.7456274,0.39329797,0.78249913,0.37691057,0.9299859,0.35232943,0.9750513,0.33594203,serve
0.21713327,0.561269,0.27448922,0.4547508,0.29087663,0.46704134,0.41378227,0.5448816,0.44246024,0.56536585,0.4711382,0.6759809,0.49162248,0.70056206,0.5162036,0.29087663,0.53259104,0.3031672,0.73743373,0.4014917,0.76201487,0.38920113,0.9095016,0.3482326,0.9750513,0.3482326,serve
0.2581018,0.54897845,0.27858606,0.43836337,0.31955463,0.47523507,0.42197597,0.4629445,0.4711382,0.5735596,0.48342878,0.5776564,0.5571721,0.72924,0.5284942,0.29087663,0.5448816,0.30726406,0.73743373,0.39739484,0.76201487,0.41378227,0.9095016,0.36462,0.9627607,0.3564263,serve
0.2130364,0.5448816,0.24990809,0.4260728,0.2949735,0.4711382,0.38920113,0.40558854,0.47523507,0.54897845,0.43836337,0.50391304,0.5694627,0.70875573,0.5080099,0.28268293,0.52030045,0.2867798,0.70465887,0.40558854,0.75382113,0.38920113,0.9095016,0.35232943,0.9709544,0.3400389,serve
0.24990809,0.53668785,0.22532697,0.40558854,0.36052316,0.47523507,0.20893955,0.34413573,0.50391304,0.54897845,0.26629552,0.39739484,0.61043125,0.70465887,0.50391304,0.27448922,0.5448816,0.3113609,0.7128526,0.4014917,0.77020854,0.38920113,0.9135984,0.3564263,0.9709544,0.33594203,serve
0.22123012,0.5571721,0.21713327,0.43016967,0.33184516,0.49981618,0.18845528,0.29907033,0.5243973,0.5407847,0.21713327,0.36052316,0.64320606,0.6800778,0.50391304,0.28268293,0.53259104,0.34413573,0.6513998,0.39739484,0.757918,0.42197597,0.9013079,0.3564263,0.9709544,0.36052316,serve
0.22123012,0.56536585,0.21713327,0.43836337,0.33594203,0.5243973,0.29907033,0.3564263,0.53259104,0.5448816,0.35232943,0.4014917,0.65549666,0.6513998,0.5162036,0.29907033,0.5407847,0.3564263,0.70056206,0.41378227,0.75382113,0.42197597,0.9340827,0.39329797,0.9709544,0.39739484,serve
0.22123012,0.5694627,0.2048427,0.44655707,0.33594203,0.5530753,0.3564263,0.37691057,0.5243973,0.5530753,0.44655707,0.4178791,0.67188406,0.6473029,0.5080099,0.31545776,0.53668785,0.40558854,0.7210463,0.39329797,0.75382113,0.4629445,0.92179215,0.41378227,0.9627607,0.4178791,serve
0.17616472,0.589947,0.19255213,0.47523507,0.32774833,0.5776564,0.22123012,0.31545776,0.49162248,0.5571721,0.20893955,0.4096854,0.6227218,0.6350124,0.49571934,0.3400389,0.5243973,0.44246024,0.73743373,0.4096854,0.7210463,0.47523507,0.95456696,0.43426654,0.95456696,0.43836337,serve
0.17206787,0.59814066,0.20893955,0.4711382,0.29087663,0.59814066,0.27448922,0.33184516,0.46704134,0.5776564,0.36462,0.37691057,0.561269,0.63910925,0.49162248,0.39329797,0.5243973,0.49981618,0.6923683,0.43016967,0.7210463,0.49981618,0.8726299,0.44246024,0.95047015,0.48342878,serve
