nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.1065182,0.3400389,0.21713327,0.3564263,0.2130364,0.45065394,0.4014917,0.3728137,0.3482326,0.46704134,0.4629445,0.36052316,0.44655707,0.3728137,0.50391304,0.44246024,0.49571934,0.561269,0.63910925,0.24581124,0.68827146,0.68827146,0.84395194,0.09832449,0.8562425,0.897211,backhand
0.11880877,0.31545776,0.2048427,0.3482326,0.19255213,0.4260728,0.37691057,0.36462,0.35232943,0.41378227,0.4014917,0.22942382,0.4260728,0.36462,0.49162248,0.43836337,0.4793319,0.5080099,0.6309155,0.21713327,0.67188406,0.6759809,0.8357582,0.09013079,0.8357582,0.90540475,backhand
0.1065182,0.27448922,0.19255213,0.33184516,0.17206787,0.36052316,0.33184516,0.3031672,0.3031672,0.32774833,0.3482326,0.24171439,0.3400389,0.24581124,0.4711382,0.4260728,0.4629445,0.48752564,0.58175325,0.2048427,0.6473029,0.6513998,0.78249913,0.11471191,0.78659594,0.8726299,backhand
0.11061506,0.26219866,0.18026158,0.29907033,0.17616472,0.3482326,0.30726406,0.22123012,0.2867798,0.30726406,0.2949735,0.07374337,0.35232943,0.26219866,0.4711382,0.38510427,0.4629445,0.4711382,0.5776564,0.19664899,0.6473029,0.6227218,0.78659594,0.11061506,0.77840227,0.8521456,backhand
0.1065182,0.27448922,0.19255213,0.32365146,0.17616472,0.36052316,0.27448922,0.20074585,0.27448922,0.2949735,0.25400496,0.065549664,0.27448922,0.21713327,0.4711382,0.42197597,0.45065394,0.4793319,0.5735596,0.19255213,0.64320606,0.618625,0.77840227,0.15977731,0.7743054,0.86033934,backhand
0.11061506,0.29907033,0.19255213,0.3482326,0.17206787,0.4096854,0.23761754,0.18026158,0.2581018,0.36871687,0.2048427,0.0532591,0.22942382,0.3031672,0.45065394,0.43426654,0.44655707,0.5080099,0.5571721,0.23352067,0.618625,0.6350124,0.76201487,0.20074585,0.7456274,0.8685331,backhand
0.09013079,0.32365146,0.18026158,0.36462,0.17616472,0.43836337,0.21713327,0.19255213,0.2048427,0.39329797,0.17616472,0.09832449,0.21713327,0.3564263,0.44655707,0.45065394,0.4260728,0.53259104,0.53259104,0.27448922,0.59814066,0.6473029,0.70875573,0.2581018,0.6964652,0.84395194,backhand
0.09013079,0.3482326,0.16797101,0.38100743,0.17206787,0.43836337,0.19664899,0.20074585,0.24990809,0.38510427,0.14748675,0.069646515,0.25400496,0.3728137,0.45065394,0.47523507,0.45065394,0.5407847,0.5530753,0.2867798,0.6227218,0.6595935,0.7415306,0.29087663,0.73333687,0.8644362,backhand
0.09013079,0.37691057,0.15568045,0.45065394,0.15568045,0.43426654,0.2949735,0.45065394,0.18026158,0.2581018,0.2949735,0.45065394,0.1515836,0.1065182,0.44246024,0.52030045,0.43016967,0.5407847,0.53259104,0.31955463,0.58175325,0.6473029,0.7128526,0.31545776,0.6964652,0.8726299,backhand
0.08603393,0.3728137,0.16797101,0.45065394,0.1515836,0.45065394,0.27448922,0.45065394,0.17206787,0.24581124,0.18435843,0.34413573,0.15568045,0.12290562,0.43016967,0.5407847,0.4260728,0.5571721,0.53668785,0.31955463,0.6022375,0.6595935,0.7210463,0.33594203,0.70056206,0.8685331,backhand
0.069646515,0.36871687,0.15977731,0.4547508,0.15568045,0.37691057,0.24171439,0.53259104,0.17206787,0.27039236,0.27448922,0.44655707,0.16797101,0.15977731,0.45065394,0.5448816,0.44655707,0.5243973,0.5407847,0.33184516,0.618625,0.6636903,0.75382113,0.33594203,0.7210463,0.87672675,backhand
0.08193708,0.3482326,0.16797101,0.4096854,0.16387416,0.4096854,0.21713327,0.32774833,0.2048427,0.3400389,0.2048427,0.32365146,0.22532697,0.32774833,0.4711382,0.49981618,0.46704134,0.53668785,0.5858501,0.27448922,0.64320606,0.6350124,0.8111771,0.29907033,0.77840227,0.9013079,backhand
0.07374337,0.24171439,0.16797101,0.2867798,0.16387416,0.3482326,0.22942382,0.23352067,0.23761754,0.4096854,0.15568045,0.13929303,0.22532697,0.2949735,0.4711382,0.4096854,0.45884764,0.46704134,0.59814066,0.18845528,0.6636903,0.53668785,0.8234677,0.22123012,0.78659594,0.78249913,backhand
0.07374337,0.28268293,0.15977731,0.30726406,0.15977731,0.36871687,0.25400496,0.38510427,0.23352067,0.43426654,0.17616472,0.27039236,0.21713327,0.32774833,0.46704134,0.45065394,0.46704134,0.50391304,0.59814066,0.23761754,0.6513998,0.589947,0.83166134,0.25400496,0.8111771,0.84395194,backhand
0.07374337,0.26219866,0.16387416,0.2867798,0.16797101,0.36052316,0.22942382,0.27858606,0.22942382,0.36052316,0.20893955,0.3031672,0.20074585,0.31545776,0.47523507,0.40558854,0.46704134,0.4629445,0.6022375,0.19664899,0.64320606,0.56536585,0.8193708,0.22123012,0.7947897,0.78659594,backhand
0.057355955,0.2581018,0.14748675,0.2867798,0.1515836,0.34413573,0.2867798,0.3728137,0.2581018,0.4014917,0.35232943,0.3400389,0.3482326,0.34413573,0.44655707,0.42197597,0.44655707,0.4793319,0.5858501,0.22942382,0.64320606,0.58175325,0.8398551,0.22942382,0.81527394,0.80708027,backhand
0.045065396,0.30726406,0.12700248,0.2949735,0.13519618,0.38920113,0.2048427,0.38510427,0.22123012,0.41378227,0.22532697,0.3113609,0.33184516,0.34413573,0.42197597,0.39329797,0.42197597,0.49981618,0.5694627,0.24171439,0.6022375,0.5735596,0.7906928,0.21713327,0.77840227,0.77840227,backhand
0.04096854,0.30726406,0.12290562,0.29907033,0.13519618,0.40558854,0.17206787,0.31955463,0.18845528,0.45884764,0.13929303,0.36052316,0.13929303,0.38510427,0.43016967,0.4014917,0.41378227,0.5162036,0.5735596,0.2581018,0.618625,0.589947,0.7947897,0.23761754,0.7661117,0.757918,backhand
0.028677978,0.34413573,0.13109933,0.3031672,0.13109933,0.45065394,0.27039236,0.3482326,0.26219866,0.45884764,0.3728137,0.32774833,0.31545776,0.43836337,0.43426654,0.40558854,0.41378227,0.5162036,0.5735596,0.27448922,0.6022375,0.6063344,0.7947897,0.23761754,0.77020854,0.74972427,backhand
