nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.2048427,0.62681866,0.27858606,0.50391304,0.38510427,0.7456274,0.36052316,0.31955463,0.59404385,0.84395194,0.4793319,0.20893955,0.6677872,0.897211,0.64320606,0.4260728,0.6677872,0.6063344,0.7128526,0.29907033,0.73743373,0.70056206,0.757918,0.27448922,0.9095016,0.59404385,forehand
0.17206787,0.62681866,0.22532697,0.47523507,0.35232943,0.7456274,0.2949735,0.27858606,0.5571721,0.84395194,0.4260728,0.15977731,0.6636903,0.9463733,0.61043125,0.3482326,0.64320606,0.54897845,0.6800778,0.2581018,0.72514313,0.68827146,0.77020854,0.22942382,0.90540475,0.589947,forehand
0.18026158,0.63910925,0.23761754,0.4711382,0.36052316,0.73333687,0.30726406,0.28268293,0.5530753,0.8234677,0.41378227,0.1433899,0.68827146,0.9791481,0.6145281,0.3482326,0.6473029,0.5121068,0.72514313,0.23352067,0.70875573,0.70056206,0.78659594,0.21713327,0.7743054,0.6473029,forehand
0.25400496,0.6063344,0.3031672,0.4629445,0.42197597,0.6841746,0.35232943,0.2581018,0.6063344,0.78249913,0.44655707,0.13519618,0.7128526,0.9422764,0.6636903,0.31545776,0.68827146,0.46704134,0.7415306,0.23352067,0.72924,0.6841746,0.8562425,0.19664899,0.8562425,0.6473029,forehand
0.29907033,0.618625,0.35232943,0.45884764,0.45065394,0.67188406,0.37691057,0.27858606,0.6145281,0.7661117,0.4629445,0.14748675,0.73333687,0.9176953,0.6677872,0.32774833,0.70875573,0.48342878,0.7743054,0.21713327,0.74972427,0.6923683,0.87672675,0.16797101,0.8849205,0.6800778,forehand
0.33594203,0.63910925,0.3482326,0.48752564,0.47523507,0.6841746,0.36871687,0.3113609,0.63910925,0.81527394,0.4260728,0.17206787,0.74972427,0.95456696,0.67188406,0.31955463,0.68827146,0.47523507,0.77020854,0.20074585,0.757918,0.6923683,0.9299859,0.14748675,0.92179215,0.76201487,forehand
0.36052316,0.64320606,0.3728137,0.49571934,0.5121068,0.68827146,0.38920113,0.31545776,0.6636903,0.78659594,0.45065394,0.21713327,0.7743054,0.9586638,0.67188406,0.3113609,0.7210463,0.4793319,0.7947897,0.20074585,0.87672675,0.73743373,0.9709544,0.09832449,0.9750513,0.7906928,forehand
0.44246024,0.6473029,0.45884764,0.5407847,0.5571721,0.70056206,0.45065394,0.3728137,0.7128526,0.7947897,0.48342878,0.24990809,0.80708027,0.9340827,0.6923683,0.3728137,0.72514313,0.5162036,0.80708027,0.24171439,0.8029834,0.6841746,0.9627607,0.13109933,0.95456696,0.77020854,forehand
0.4711382,0.6636903,0.4793319,0.53259104,0.589947,0.70056206,0.48752564,0.4014917,0.73333687,0.78659594,0.5243973,0.2867798,0.83166134,0.92179215,0.6964652,0.36462,0.73333687,0.50391304,0.83166134,0.2581018,0.82756454,0.68827146,0.95456696,0.13109933,0.9750513,0.76201487,forehand
0.49571934,0.6841746,0.50391304,0.5735596,0.63910925,0.72514313,0.50391304,0.40558854,0.75382113,0.8029834,0.5407847,0.2949735,0.8398551,0.897211,0.73743373,0.4178791,0.72514313,0.5407847,0.8521456,0.23352067,0.8234677,0.70465887,0.9586638,0.12290562,0.8398551,0.68827146,forehand
0.5121068,0.7128526,0.5243973,0.5776564,0.6473029,0.7456274,0.53259104,0.43426654,0.6841746,0.77840227,0.5530753,0.31955463,0.77840227,0.82756454,0.73743373,0.43016967,0.7456274,0.6022375,0.84395194,0.27448922,0.8234677,0.73743373,0.9750513,0.12700248,0.83166134,0.7128526,forehand
0.49571934,0.7947897,0.48752564,0.6513998,0.5776564,0.8193708,0.48752564,0.49571934,0.8029834,0.9709544,0.5243973,0.38100743,0.81527394,0.9791481,0.70056206,0.48752564,0.72924,0.64320606,0.8521456,0.30726406,0.77020854,0.8029834,0.9709544,0.1515836,0.8398551,0.8029834,forehand
0.5080099,0.7743054,0.5080099,0.62681866,0.62681866,0.80708027,0.5407847,0.49162248,0.73333687,0.8234677,0.58175325,0.36052316,0.8726299,0.98324496,0.7415306,0.4547508,0.7210463,0.56536585,0.8685331,0.29087663,0.7743054,0.7661117,0.98324496,0.13519618,0.81527394,0.7210463,forehand
0.5776564,0.7210463,0.5735596,0.589947,0.70465887,0.77020854,0.589947,0.4629445,0.72514313,0.81527394,0.6350124,0.3400389,0.7947897,0.72924,0.72924,0.43426654,0.77020854,0.5694627,0.8521456,0.3113609,0.8029834,0.7128526,0.9791481,0.14748675,0.81527394,0.6309155,forehand
0.5162036,0.7661117,0.5121068,0.67188406,0.64320606,0.8357582,0.5448816,0.50391304,0.77020854,0.8644362,0.59814066,0.36052316,0.8644362,0.98324496,0.73333687,0.42197597,0.73333687,0.6022375,0.8357582,0.33594203,0.7661117,0.7906928,0.98324496,0.12290562,0.9013079,0.757918,forehand
0.56536585,0.71694946,0.561269,0.6063344,0.6923683,0.76201487,0.589947,0.4711382,0.72924,0.77020854,0.6513998,0.3564263,0.82756454,0.70056206,0.7128526,0.44246024,0.78249913,0.6227218,0.86033934,0.3113609,0.7947897,0.72514313,0.9750513,0.14748675,0.83166134,0.65549666,forehand
0.44655707,0.83166134,0.45065394,0.68827146,0.6145281,0.89311415,0.5080099,0.5162036,0.75382113,0.87672675,0.59814066,0.39329797,0.86033934,0.8029834,0.6841746,0.45065394,0.72514313,0.6063344,0.8685331,0.29907033,0.74972427,0.82756454,0.96685755,0.13929303,0.9013079,0.78659594,forehand
0.45884764,0.8398551,0.43836337,0.7210463,0.5858501,0.8808236,0.48752564,0.5407847,0.7743054,0.9176953,0.5735596,0.4014917,0.8029834,0.79888654,0.6595935,0.4547508,0.7210463,0.6227218,0.8398551,0.2949735,0.77020854,0.81527394,0.9709544,0.12290562,0.74972427,0.77020854,forehand
