nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.15568045,0.2130364,0.24990809,0.26629552,0.22123012,0.36871687,0.36462,0.33184516,0.3482326,0.3564263,0.52030045,0.30726406,0.5080099,0.31545776,0.52030045,0.39739484,0.50391304,0.4793319,0.618625,0.21713327,0.73743373,0.6227218,0.8849205,0.18435843,0.87672675,0.7906928,backhand
0.13929303,0.21713327,0.23761754,0.27039236,0.20074585,0.38510427,0.36052316,0.3400389,0.35232943,0.3482326,0.5162036,0.3113609,0.49162248,0.33184516,0.50391304,0.41378227,0.4793319,0.5121068,0.618625,0.22942382,0.73333687,0.64320606,0.8808236,0.19255213,0.8726299,0.8234677,backhand
0.16387416,0.18026158,0.23352067,0.23352067,0.22942382,0.2949735,0.37691057,0.29087663,0.38100743,0.30726406,0.53259104,0.2867798,0.5284942,0.2867798,0.5080099,0.45884764,0.50391304,0.44655707,0.7456274,0.6227218,0.6227218,0.20893955,0.90540475,0.81527394,0.897211,0.17616472,backhand
0.12700248,0.19664899,0.23761754,0.23761754,0.20893955,0.30726406,0.36052316,0.30726406,0.33594203,0.3113609,0.49981618,0.3031672,0.49981618,0.3031672,0.4793319,0.44246024,0.48342878,0.4547508,0.7210463,0.62681866,0.72514313,0.6063344,0.8726299,0.81527394,0.8644362,0.19664899,backhand
0.16797101,0.13929303,0.25400496,0.19255213,0.20074585,0.27448922,0.38510427,0.28268293,0.36871687,0.29907033,0.53259104,0.28268293,0.5284942,0.27858606,0.49162248,0.41378227,0.48752564,0.4178791,0.72514313,0.618625,0.6063344,0.19255213,0.9095016,0.81527394,0.88901734,0.19255213,backhand
0.13519618,0.19255213,0.22532697,0.22942382,0.18845528,0.32774833,0.36871687,0.30726406,0.3564263,0.31955463,0.5121068,0.31545776,0.48342878,0.3113609,0.47523507,0.43426654,0.47523507,0.45884764,0.58175325,0.2130364,0.7128526,0.64320606,0.8726299,0.2130364,0.8726299,0.22123012,backhand
0.16797101,0.21713327,0.25400496,0.27858606,0.22942382,0.35232943,0.39739484,0.36871687,0.36871687,0.38100743,0.5407847,0.36052316,0.5162036,0.36462,0.49981618,0.5121068,0.48752564,0.5243973,0.59814066,0.28268293,0.72514313,0.6964652,0.8808236,0.9135984,0.8726299,0.3031672,backhand
0.13109933,0.13929303,0.22532697,0.20074585,0.19255213,0.23352067,0.3564263,0.28268293,0.34413573,0.28268293,0.5243973,0.2867798,0.50391304,0.29087663,0.47523507,0.45884764,0.49571934,0.4260728,0.7210463,0.6636903,0.6022375,0.22123012,0.89311415,0.8562425,0.8808236,0.22123012,backhand
0.15568045,0.1065182,0.22532697,0.19255213,0.18845528,0.22532697,0.36871687,0.27448922,0.3564263,0.26629552,0.5080099,0.27858606,0.50391304,0.27858606,0.46704134,0.44246024,0.4629445,0.44246024,0.6022375,0.20074585,0.70465887,0.6350124,0.8849205,0.23761754,0.8644362,0.24171439,backhand
0.15977731,0.24171439,0.2130364,0.35232943,0.24171439,0.32365146,0.36462,0.41378227,0.36052316,0.3728137,0.49981618,0.4260728,0.5080099,0.39739484,0.4711382,0.5858501,0.4711382,0.5284942,0.70465887,0.77020854,0.59814066,0.31955463,0.8685331,0.98324496,0.8726299,0.36871687,backhand
0.15568045,0.077840224,0.21713327,0.19255213,0.22123012,0.2130364,0.36871687,0.2581018,0.36462,0.27039236,0.49981618,0.27858606,0.49162248,0.2867798,0.45065394,0.4629445,0.45884764,0.42197597,0.70056206,0.6759809,0.6063344,0.2130364,0.9013079,0.87672675,0.8808236,0.25400496,backhand
0.1515836,0.12290562,0.21713327,0.2048427,0.20074585,0.27448922,0.36052316,0.2949735,0.3482326,0.29907033,0.52030045,0.26219866,0.49981618,0.31545776,0.45065394,0.44246024,0.44246024,0.50391304,0.56536585,0.22942382,0.6759809,0.6841746,0.8685331,0.27448922,0.8521456,0.8726299,backhand
0.17206787,0.08193708,0.23761754,0.18435843,0.2048427,0.2130364,0.31955463,0.2949735,0.32774833,0.28268293,0.49981618,0.29907033,0.4711382,0.29907033,0.44655707,0.44246024,0.43836337,0.47523507,0.59814066,0.22123012,0.68827146,0.68827146,0.88901734,0.27039236,0.87672675,0.8685331,backhand
