nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.17206787,0.46704134,0.25400496,0.5243973,0.27039236,0.42197597,0.4014917,0.6227218,0.38920113,0.3728137,0.43016967,0.589947,0.49162248,0.36462,0.49981618,0.5530753,0.49571934,0.4629445,0.6677872,0.6309155,0.6636903,0.38920113,0.87672675,0.6800778,0.8685331,0.31955463,neutral
0.13519618,0.4711382,0.22532697,0.5858501,0.24581124,0.4014917,0.36871687,0.64320606,0.3728137,0.36462,0.45065394,0.6022375,0.4629445,0.36052316,0.48752564,0.5858501,0.49981618,0.4547508,0.6677872,0.6513998,0.6800778,0.38100743,0.8808236,0.6841746,0.87672675,0.31955463,neutral
0.17206787,0.48342878,0.2581018,0.5776564,0.2581018,0.4260728,0.39329797,0.64320606,0.4014917,0.3728137,0.4711382,0.6309155,0.5080099,0.34413573,0.50391304,0.561269,0.5121068,0.47523507,0.6759809,0.6677872,0.6759809,0.38510427,0.897211,0.70056206,0.8849205,0.31955463,neutral
0.11880877,0.4711382,0.22532697,0.5858501,0.24581124,0.39739484,0.37691057,0.63910925,0.3728137,0.35232943,0.4260728,0.6227218,0.49981618,0.32774833,0.48342878,0.561269,0.4711382,0.44246024,0.6513998,0.6473029,0.6636903,0.36462,0.8808236,0.6841746,0.8808236,0.3113609,neutral
0.1515836,0.49981618,0.23761754,0.54897845,0.24581124,0.52030045,0.40558854,0.6513998,0.38100743,0.38100743,0.48342878,0.59814066,0.49162248,0.39329797,0.48752564,0.5530753,0.50391304,0.49571934,0.6636903,0.6677872,0.6513998,0.39739484,0.8849205,0.70056206,0.87672675,0.31955463,neutral
0.1515836,0.49981618,0.2581018,0.6022375,0.24171439,0.41378227,0.40558854,0.6473029,0.38920113,0.36462,0.48752564,0.618625,0.50391304,0.3482326,0.50391304,0.58175325,0.49162248,0.45884764,0.6636903,0.6595935,0.67188406,0.3728137,0.8849205,0.6964652,0.87672675,0.31545776,neutral
0.13519618,0.52030045,0.23761754,0.63910925,0.23352067,0.43016967,0.40558854,0.6677872,0.37691057,0.38100743,0.4547508,0.62681866,0.48752564,0.35232943,0.48752564,0.59814066,0.48752564,0.45884764,0.65549666,0.68827146,0.6677872,0.4014917,0.8808236,0.70875573,0.87672675,0.33184516,neutral
0.13929303,0.49981618,0.25400496,0.61043125,0.24990809,0.39739484,0.42197597,0.64320606,0.38100743,0.36871687,0.48342878,0.6063344,0.49981618,0.3400389,0.49981618,0.5776564,0.49571934,0.4547508,0.6636903,0.6595935,0.6759809,0.36462,0.8849205,0.6964652,0.8726299,0.29907033,neutral
0.12700248,0.53259104,0.2130364,0.44246024,0.23352067,0.6309155,0.35232943,0.40558854,0.38920113,0.6841746,0.45065394,0.36462,0.44246024,0.6309155,0.49162248,0.49981618,0.49981618,0.58175325,0.6595935,0.4096854,0.6677872,0.6759809,0.87672675,0.32774833,0.897211,0.70465887,neutral
0.13929303,0.5080099,0.22942382,0.4178791,0.25400496,0.62681866,0.38100743,0.37691057,0.40558854,0.6595935,0.49162248,0.35232943,0.46704134,0.6145281,0.5121068,0.4793319,0.49571934,0.5735596,0.64320606,0.39739484,0.67188406,0.65549666,0.8644362,0.3113609,0.9013079,0.6841746,neutral
0.11880877,0.53668785,0.21713327,0.4711382,0.23761754,0.6473029,0.35232943,0.4014917,0.3728137,0.6759809,0.44655707,0.38100743,0.4547508,0.6309155,0.49162248,0.5121068,0.4793319,0.5858501,0.63910925,0.43016967,0.6513998,0.6759809,0.84395194,0.34413573,0.8685331,0.6841746,neutral
0.14748675,0.5243973,0.22123012,0.45065394,0.24581124,0.64320606,0.36462,0.4014917,0.4014917,0.6759809,0.4629445,0.36462,0.4629445,0.6350124,0.49571934,0.4793319,0.49571934,0.6022375,0.6636903,0.4096854,0.67188406,0.6595935,0.87672675,0.32774833,0.89311415,0.6841746,neutral
0.11061506,0.5407847,0.21713327,0.46704134,0.22123012,0.6595935,0.35232943,0.42197597,0.36052316,0.6841746,0.44655707,0.36871687,0.44246024,0.618625,0.49162248,0.5121068,0.49162248,0.6145281,0.6636903,0.4178791,0.6513998,0.6923683,0.8562425,0.3482326,0.8808236,0.6923683,neutral
0.14748675,0.52030045,0.22942382,0.44655707,0.24581124,0.63910925,0.36462,0.40558854,0.38100743,0.6636903,0.4629445,0.36052316,0.44246024,0.6145281,0.50391304,0.47523507,0.49571934,0.59404385,0.6677872,0.4096854,0.67188406,0.6759809,0.87672675,0.32774833,0.88901734,0.6636903,neutral
0.1065182,0.53259104,0.20074585,0.4629445,0.2048427,0.6759809,0.3482326,0.4260728,0.36052316,0.6923683,0.43836337,0.38510427,0.41378227,0.6309155,0.4711382,0.50391304,0.47523507,0.6227218,0.6595935,0.43836337,0.64320606,0.6841746,0.8521456,0.36052316,0.87672675,0.68827146,neutral
0.14748675,0.52030045,0.22532697,0.44246024,0.23761754,0.6473029,0.36052316,0.39739484,0.38920113,0.6636903,0.4629445,0.35232943,0.4547508,0.618625,0.49981618,0.4793319,0.49162248,0.6063344,0.6595935,0.4096854,0.6677872,0.67188406,0.8685331,0.3400389,0.88901734,0.6636903,neutral
0.12290562,0.53668785,0.21713327,0.4547508,0.23352067,0.6677872,0.3564263,0.42197597,0.3728137,0.67188406,0.45884764,0.36462,0.43426654,0.6145281,0.48752564,0.48342878,0.47523507,0.6063344,0.6513998,0.4260728,0.63910925,0.68827146,0.8562425,0.3564263,0.89311415,0.67188406,neutral
