nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.14748675,0.4260728,0.27858606,0.38510427,0.2581018,0.5448816,0.46704134,0.36871687,0.40558854,0.5735596,0.5776564,0.33184516,0.45884764,0.47523507,0.56536585,0.52030045,0.5735596,0.6309155,0.6800778,0.27039236,0.6473029,0.43016967,0.9299859,0.41378227,0.8111771,0.43426654,backhand
0.13929303,0.45065394,0.27448922,0.4096854,0.22942382,0.561269,0.44655707,0.4178791,0.39329797,0.5858501,0.5571721,0.34413573,0.49981618,0.49571934,0.52030045,0.53259104,0.5162036,0.6063344,0.63910925,0.31955463,0.6350124,0.47523507,0.87672675,0.43426654,0.7947897,0.48342878,backhand
0.15977731,0.4260728,0.2949735,0.4178791,0.25400496,0.561269,0.44246024,0.43016967,0.40558854,0.56536585,0.5694627,0.34413573,0.49981618,0.5284942,0.5448816,0.5284942,0.53668785,0.6309155,0.6636903,0.3113609,0.6309155,0.49571934,0.897211,0.43426654,0.77840227,0.49981618,backhand
0.13519618,0.43836337,0.25400496,0.44246024,0.22123012,0.561269,0.43836337,0.42197597,0.36871687,0.54897845,0.56536585,0.32365146,0.5162036,0.43836337,0.5080099,0.561269,0.50391304,0.6595935,0.6227218,0.31545776,0.6022375,0.5407847,0.897211,0.4096854,0.74972427,0.5448816,backhand
0.13929303,0.41378227,0.27448922,0.41378227,0.23352067,0.5407847,0.44246024,0.4178791,0.39739484,0.52030045,0.5694627,0.3113609,0.54897845,0.47523507,0.5162036,0.53259104,0.52030045,0.6473029,0.6309155,0.32774833,0.6022375,0.52030045,0.9095016,0.36462,0.73743373,0.5243973,backhand
0.13519618,0.4178791,0.26219866,0.4096854,0.23761754,0.53668785,0.43426654,0.4178791,0.37691057,0.5448816,0.5571721,0.3400389,0.5121068,0.46704134,0.5162036,0.5162036,0.5243973,0.6473029,0.6227218,0.31955463,0.58175325,0.5530753,0.9095016,0.33594203,0.7415306,0.54897845,backhand
0.15568045,0.38920113,0.27039236,0.4014917,0.23761754,0.5162036,0.44246024,0.4178791,0.38920113,0.53259104,0.5776564,0.3400389,0.53668785,0.4711382,0.50391304,0.5243973,0.52030045,0.6513998,0.62681866,0.3400389,0.5571721,0.5162036,0.88901734,0.3113609,0.70875573,0.5571721,backhand
0.14748675,0.38100743,0.26219866,0.38510427,0.22123012,0.49162248,0.45065394,0.4096854,0.38920113,0.5121068,0.6145281,0.33594203,0.5407847,0.45884764,0.5121068,0.5243973,0.5080099,0.63910925,0.6513998,0.34413573,0.6145281,0.53668785,0.9299859,0.2867798,0.70465887,0.5694627,backhand
0.15977731,0.38920113,0.27039236,0.4014917,0.22942382,0.5121068,0.43016967,0.41378227,0.36871687,0.5448816,0.5571721,0.38920113,0.52030045,0.49571934,0.48752564,0.52030045,0.49981618,0.64320606,0.6309155,0.37691057,0.54897845,0.53259104,0.8644362,0.33184516,0.6923683,0.5735596,backhand
0.15977731,0.36871687,0.29087663,0.36462,0.23352067,0.49981618,0.45065394,0.38920113,0.3564263,0.5407847,0.5694627,0.37691057,0.5243973,0.50391304,0.5407847,0.52030045,0.5121068,0.65549666,0.6800778,0.36462,0.589947,0.6145281,0.9340827,0.2949735,0.72924,0.6063344,backhand
0.1515836,0.36462,0.28268293,0.35232943,0.23761754,0.5080099,0.45884764,0.43426654,0.39739484,0.5571721,0.589947,0.40558854,0.53668785,0.5080099,0.54897845,0.561269,0.5243973,0.67188406,0.6636903,0.3400389,0.589947,0.561269,0.93817955,0.29907033,0.70465887,0.6063344,backhand
0.14748675,0.37691057,0.2867798,0.35232943,0.22942382,0.5162036,0.4547508,0.44246024,0.4096854,0.589947,0.5735596,0.39329797,0.52030045,0.5776564,0.5162036,0.5530753,0.5080099,0.6595935,0.62681866,0.32365146,0.5694627,0.589947,0.88901734,0.31955463,0.6595935,0.618625,backhand
0.15568045,0.38510427,0.28268293,0.36052316,0.22123012,0.52030045,0.4260728,0.40558854,0.39329797,0.59404385,0.5735596,0.39739484,0.54897845,0.5530753,0.5162036,0.5448816,0.49981618,0.6595935,0.6309155,0.31545776,0.5530753,0.6022375,0.8849205,0.32774833,0.67188406,0.62681866,backhand
0.14748675,0.40558854,0.26629552,0.36052316,0.21713327,0.54897845,0.43426654,0.4014917,0.38100743,0.6063344,0.54897845,0.45065394,0.49162248,0.561269,0.5284942,0.53259104,0.50391304,0.6595935,0.63910925,0.31955463,0.589947,0.5448816,0.88901734,0.33594203,0.6800778,0.6513998,backhand
0.13929303,0.4260728,0.26629552,0.3728137,0.21713327,0.5694627,0.4096854,0.43426654,0.38100743,0.6063344,0.53259104,0.43426654,0.46704134,0.52030045,0.53668785,0.53668785,0.52030045,0.6677872,0.6227218,0.31955463,0.56536585,0.589947,0.89311415,0.36462,0.6636903,0.64320606,backhand
0.14748675,0.4260728,0.24581124,0.4014917,0.2130364,0.5694627,0.38920113,0.43426654,0.36462,0.6227218,0.52030045,0.4629445,0.39329797,0.5407847,0.53259104,0.53668785,0.5243973,0.67188406,0.63910925,0.31955463,0.5694627,0.5448816,0.88901734,0.3728137,0.68827146,0.67188406,backhand
0.13929303,0.44246024,0.23352067,0.4096854,0.20893955,0.6022375,0.3728137,0.44655707,0.3482326,0.6022375,0.5243973,0.45065394,0.4260728,0.56536585,0.5080099,0.5407847,0.5080099,0.6800778,0.6350124,0.33594203,0.5448816,0.618625,0.8808236,0.38510427,0.6800778,0.67188406,backhand
0.12290562,0.49571934,0.20074585,0.43836337,0.20074585,0.6350124,0.3400389,0.45065394,0.30726406,0.589947,0.4014917,0.47523507,0.44246024,0.53259104,0.5080099,0.5448816,0.50391304,0.6923683,0.6513998,0.31955463,0.5694627,0.6513998,0.89311415,0.37691057,0.6923683,0.68827146,backhand
0.09422764,0.53259104,0.18845528,0.44246024,0.17616472,0.6513998,0.24171439,0.5080099,0.23761754,0.61043125,0.2130364,0.5407847,0.20893955,0.5571721,0.5121068,0.5530753,0.48752564,0.68827146,0.6513998,0.34413573,0.5735596,0.6513998,0.89311415,0.36052316,0.70875573,0.6800778,backhand
0.11471191,0.53259104,0.19255213,0.46704134,0.2048427,0.6595935,0.24581124,0.5080099,0.22942382,0.618625,0.22532697,0.5448816,0.22532697,0.53668785,0.49981618,0.5530753,0.49162248,0.6841746,0.64320606,0.36052316,0.6022375,0.6309155,0.87672675,0.36462,0.7210463,0.6677872,backhand
0.09832449,0.5530753,0.19664899,0.4711382,0.2048427,0.6759809,0.18845528,0.5284942,0.21713327,0.6063344,0.1065182,0.5243973,0.09832449,0.56536585,0.49571934,0.5571721,0.4793319,0.6923683,0.64320606,0.4014917,0.5571721,0.6145281,0.88901734,0.3482326,0.6964652,0.6309155,backhand
0.1065182,0.56536585,0.19664899,0.48752564,0.18026158,0.6759809,0.25400496,0.52030045,0.27448922,0.6595935,0.2048427,0.5694627,0.16387416,0.6063344,0.48752564,0.5571721,0.47523507,0.6636903,0.64320606,0.41378227,0.561269,0.62681866,0.8808236,0.33184516,0.70465887,0.6227218,backhand
0.11880877,0.6063344,0.19664899,0.5121068,0.20074585,0.6964652,0.2867798,0.561269,0.2949735,0.6964652,0.27448922,0.6022375,0.29087663,0.6309155,0.49571934,0.54897845,0.49162248,0.6923683,0.65549666,0.4629445,0.59404385,0.589947,0.8685331,0.36052316,0.7415306,0.6145281,backhand
0.1065182,0.59404385,0.2048427,0.5080099,0.2048427,0.7128526,0.2949735,0.5694627,0.31545776,0.73333687,0.24581124,0.59814066,0.27039236,0.6145281,0.48342878,0.5571721,0.48342878,0.67188406,0.6350124,0.4711382,0.59814066,0.589947,0.8808236,0.38920113,0.74972427,0.5858501,backhand
0.13109933,0.5530753,0.21713327,0.48752564,0.20893955,0.67188406,0.31545776,0.5448816,0.33594203,0.68827146,0.29087663,0.59404385,0.31545776,0.61043125,0.49162248,0.53259104,0.49981618,0.6513998,0.6513998,0.42197597,0.6309155,0.52030045,0.89311415,0.39739484,0.8111771,0.52030045,backhand
0.11061506,0.5530753,0.20074585,0.47523507,0.2048427,0.6677872,0.26629552,0.5243973,0.32365146,0.70465887,0.26219866,0.58175325,0.2867798,0.63910925,0.48342878,0.49981618,0.49162248,0.6063344,0.62681866,0.43426654,0.5735596,0.53259104,0.84395194,0.44246024,0.7743054,0.48752564,backhand
0.1065182,0.5080099,0.19255213,0.4260728,0.19664899,0.6145281,0.3113609,0.49981618,0.3113609,0.6636903,0.22532697,0.50391304,0.26219866,0.5858501,0.4793319,0.4547508,0.48342878,0.5776564,0.6145281,0.37691057,0.6227218,0.46704134,0.77020854,0.43426654,0.8193708,0.4629445,backhand
0.09013079,0.5080099,0.18845528,0.42197597,0.18026158,0.618625,0.22123012,0.45884764,0.3031672,0.6800778,0.19664899,0.5121068,0.24581124,0.59814066,0.4793319,0.46704134,0.48342878,0.5735596,0.63910925,0.4096854,0.61043125,0.46704134,0.81527394,0.47523507,0.7947897,0.46704134,backhand
0.07374337,0.48342878,0.18435843,0.4014917,0.17616472,0.6063344,0.27448922,0.45884764,0.32365146,0.6841746,0.28268293,0.52030045,0.29087663,0.5571721,0.4793319,0.45065394,0.49162248,0.5530753,0.6473029,0.43426654,0.6309155,0.46704134,0.87672675,0.53668785,0.8357582,0.4260728,backhand
0.0532591,0.48342878,0.15977731,0.4014917,0.16387416,0.58175325,0.27448922,0.43836337,0.31955463,0.6350124,0.26219866,0.5162036,0.28268293,0.5530753,0.4547508,0.45065394,0.44246024,0.54897845,0.63910925,0.45065394,0.59814066,0.4711382,0.82756454,0.5284942,0.75382113,0.43016967,backhand
