nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.17206787,0.72924,0.23761754,0.6800778,0.24171439,0.6227218,0.38510427,0.65549666,0.39739484,0.67188406,0.4711382,0.73743373,0.4629445,0.73743373,0.5121068,0.61043125,0.5162036,0.5571721,0.63910925,0.7415306,0.73333687,0.5080099,0.8562425,0.70465887,0.6841746,0.36052316,forehand
0.16797101,0.78249913,0.22942382,0.6595935,0.23761754,0.6964652,0.39739484,0.7128526,0.42197597,0.70875573,0.4547508,0.72924,0.4547508,0.7743054,0.5284942,0.54897845,0.54897845,0.5694627,0.72924,0.618625,0.7128526,0.7743054,0.7456274,0.43426654,0.8726299,0.6677872,forehand
0.16387416,0.72924,0.22942382,0.5858501,0.24171439,0.6473029,0.3564263,0.65549666,0.4014917,0.6923683,0.3728137,0.7906928,0.4711382,0.8234677,0.5162036,0.5162036,0.5162036,0.5448816,0.6800778,0.6595935,0.71694946,0.70875573,0.8480488,0.5530753,0.81527394,0.4547508,forehand
0.17616472,0.6800778,0.22123012,0.5448816,0.24581124,0.61043125,0.36052316,0.6022375,0.40558854,0.70875573,0.4178791,0.7661117,0.4711382,0.8644362,0.5571721,0.43836337,0.5694627,0.44655707,0.71694946,0.6022375,0.75382113,0.63910925,0.9095016,0.47523507,0.9135984,0.46704134,forehand
0.14748675,0.59404385,0.2048427,0.44246024,0.24171439,0.5448816,0.35232943,0.49981618,0.40558854,0.64320606,0.34413573,0.58175325,0.31955463,0.6022375,0.53668785,0.3113609,0.5448816,0.38510427,0.6923683,0.5080099,0.70875573,0.589947,0.9013079,0.3113609,0.9422764,0.52030045,forehand
0.17616472,0.6923683,0.22123012,0.5407847,0.24171439,0.6309155,0.32774833,0.64320606,0.4096854,0.72514313,0.36462,0.6759809,0.43016967,0.8562425,0.52030045,0.40558854,0.53259104,0.48752564,0.6677872,0.5407847,0.6964652,0.6800778,0.8398551,0.38100743,0.9176953,0.68827146,forehand
0.1515836,0.63910925,0.2130364,0.52030045,0.20893955,0.5407847,0.32774833,0.5162036,0.35232943,0.5571721,0.29907033,0.63910925,0.4793319,0.72514313,0.5121068,0.38100743,0.52030045,0.43836337,0.6964652,0.4629445,0.70056206,0.6350124,0.80708027,0.27039236,0.9586638,0.77840227,forehand
0.16387416,0.6759809,0.2048427,0.53668785,0.23352067,0.56536585,0.3113609,0.53259104,0.36871687,0.54897845,0.2867798,0.6309155,0.5162036,0.6800778,0.48342878,0.4547508,0.50391304,0.4793319,0.6595935,0.47523507,0.6800778,0.6841746,0.74972427,0.29907033,0.9013079,0.81527394,forehand
0.15568045,0.6800778,0.2130364,0.561269,0.22532697,0.5735596,0.36462,0.5162036,0.38920113,0.5284942,0.49571934,0.618625,0.5407847,0.6227218,0.4711382,0.4629445,0.49571934,0.49571934,0.67188406,0.44655707,0.68827146,0.67188406,0.7456274,0.2867798,0.9340827,0.80708027,forehand
0.1433899,0.6513998,0.2048427,0.5284942,0.26629552,0.618625,0.27858606,0.4711382,0.4260728,0.61043125,0.35232943,0.49571934,0.561269,0.70875573,0.48342878,0.45884764,0.5162036,0.52030045,0.6473029,0.43836337,0.65549666,0.70875573,0.72514313,0.2949735,0.9095016,0.8029834,forehand
