nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.1065182,0.6473029,0.2130364,0.5243973,0.24171439,0.7415306,0.38100743,0.5162036,0.39739484,0.76201487,0.46704134,0.5121068,0.45884764,0.68827146,0.4711382,0.5162036,0.4793319,0.65549666,0.6636903,0.38920113,0.62681866,0.72514313,0.86033934,0.27039236,0.8685331,0.7415306,neutral
0.13929303,0.64320606,0.22532697,0.5121068,0.26629552,0.73333687,0.38100743,0.49981618,0.4260728,0.74972427,0.45065394,0.5571721,0.47523507,0.6841746,0.4711382,0.50391304,0.49162248,0.618625,0.6759809,0.38100743,0.6595935,0.70056206,0.87672675,0.29087663,0.8808236,0.7128526,neutral
0.12290562,0.6227218,0.20893955,0.5080099,0.24171439,0.70056206,0.36462,0.48752564,0.4178791,0.73743373,0.47523507,0.5080099,0.4711382,0.68827146,0.48342878,0.48752564,0.50391304,0.61043125,0.6636903,0.38920113,0.6636903,0.68827146,0.8726299,0.30726406,0.8808236,0.70875573,neutral
0.12290562,0.61043125,0.2130364,0.49571934,0.23761754,0.6964652,0.34413573,0.48342878,0.41378227,0.70465887,0.4629445,0.4793319,0.4711382,0.6800778,0.47523507,0.48342878,0.49162248,0.6022375,0.6636903,0.39329797,0.6759809,0.6759809,0.87672675,0.33594203,0.897211,0.6923683,neutral
0.11471191,0.6022375,0.19664899,0.48752564,0.24171439,0.6677872,0.34413573,0.46704134,0.3728137,0.6923683,0.4260728,0.50391304,0.4711382,0.6595935,0.46704134,0.4547508,0.4793319,0.5858501,0.64320606,0.41378227,0.6636903,0.63910925,0.8521456,0.3482326,0.87672675,0.67188406,neutral
0.11880877,0.58175325,0.20893955,0.45884764,0.24581124,0.6595935,0.3482326,0.44655707,0.39739484,0.67188406,0.4629445,0.48752564,0.47523507,0.6227218,0.4793319,0.44655707,0.48342878,0.5571721,0.64320606,0.4096854,0.6800778,0.62681866,0.81527394,0.35232943,0.89311415,0.64320606,neutral
0.13519618,0.5694627,0.21713327,0.4547508,0.25400496,0.63910925,0.3564263,0.45065394,0.38510427,0.65549666,0.45884764,0.46704134,0.4711382,0.6145281,0.48752564,0.43016967,0.4793319,0.56536585,0.65549666,0.4178791,0.6677872,0.618625,0.84395194,0.39739484,0.88901734,0.6350124,neutral
0.13109933,0.5407847,0.21713327,0.43426654,0.23761754,0.6022375,0.3400389,0.4014917,0.39329797,0.6350124,0.4629445,0.43836337,0.4793319,0.5530753,0.4711382,0.43426654,0.4629445,0.54897845,0.64320606,0.40558854,0.6759809,0.58175325,0.8234677,0.39739484,0.87672675,0.6063344,neutral
0.11880877,0.5243973,0.2130364,0.40558854,0.24171439,0.6022375,0.3564263,0.38920113,0.36462,0.61043125,0.4547508,0.41378227,0.47523507,0.5530753,0.48342878,0.40558854,0.46704134,0.53259104,0.6227218,0.4178791,0.6841746,0.5694627,0.8398551,0.41378227,0.89311415,0.589947,neutral
0.14748675,0.53259104,0.22123012,0.4096854,0.24581124,0.589947,0.36052316,0.39329797,0.4096854,0.61043125,0.44246024,0.42197597,0.49162248,0.5530753,0.48752564,0.4178791,0.49162248,0.53668785,0.6145281,0.4260728,0.6800778,0.5694627,0.8357582,0.41378227,0.9013079,0.589947,neutral
0.13109933,0.50391304,0.2130364,0.42197597,0.24171439,0.5858501,0.34413573,0.39329797,0.38100743,0.5858501,0.43016967,0.4096854,0.4793319,0.5571721,0.4711382,0.41378227,0.47523507,0.53259104,0.618625,0.4260728,0.6227218,0.56536585,0.83166134,0.40558854,0.8644362,0.5735596,neutral
0.12700248,0.52030045,0.21713327,0.4260728,0.24581124,0.6022375,0.36052316,0.4178791,0.4014917,0.61043125,0.44655707,0.45065394,0.48752564,0.5735596,0.48342878,0.44655707,0.48752564,0.5448816,0.65549666,0.42197597,0.6800778,0.59814066,0.8357582,0.4178791,0.9013079,0.6022375,neutral
0.13929303,0.50391304,0.23352067,0.41378227,0.24581124,0.561269,0.3564263,0.4014917,0.38510427,0.5776564,0.4547508,0.4178791,0.4711382,0.5448816,0.48342878,0.4178791,0.4793319,0.5407847,0.63910925,0.43016967,0.6677872,0.5448816,0.8357582,0.4178791,0.87672675,0.589947,neutral
0.032774832,0.5407847,0.18026158,0.6350124,0.27448922,0.39329797,0.2949735,0.6923683,0.3564263,0.33184516,0.35232943,0.5776564,0.4260728,0.38920113,0.43836337,0.5858501,0.4260728,0.43426654,0.6759809,0.64320606,0.67188406,0.42197597,0.88901734,0.561269,0.8726299,0.45065394,neutral
0.4629445,0.26629552,0.49981618,0.22123012,0.49571934,0.2867798,0.53668785,0.19664899,0.5571721,0.3031672,0.58175325,0.22123012,0.59814066,0.27858606,0.5530753,0.23352067,0.5571721,0.27858606,0.61043125,0.22942382,0.6309155,0.29087663,0.67188406,0.21713327,0.6473029,0.28268293,neutral
0.1433899,0.561269,0.2949735,0.39739484,0.29907033,0.68827146,0.49162248,0.43016967,0.5162036,0.7128526,0.5858501,0.5121068,0.618625,0.6759809,0.6759809,0.42197597,0.67188406,0.6063344,0.897211,0.4096854,0.8685331,0.7415306,0.96685755,0.39739484,0.9709544,0.6022375,neutral
0.09832449,0.5243973,0.23352067,0.38510427,0.26629552,0.64320606,0.44246024,0.36871687,0.4711382,0.6636903,0.5162036,0.4711382,0.5121068,0.61043125,0.5776564,0.40558854,0.6022375,0.5776564,0.77020854,0.39329797,0.79888654,0.6964652,0.9873418,0.3400389,0.9873418,0.6759809,neutral
