nose_y,nose_x,left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.1433899,0.62681866,0.20074585,0.46704134,0.24171439,0.67188406,0.3031672,0.4547508,0.31545776,0.82756454,0.3031672,0.5407847,0.3031672,0.9463733,0.45884764,0.34413573,0.4793319,0.48752564,0.6513998,0.23761754,0.68827146,0.56536585,0.86033934,0.13519618,0.8726299,0.5735596,serve
0.18026158,0.589947,0.20893955,0.43836337,0.26629552,0.6227218,0.29087663,0.44655707,0.33184516,0.77840227,0.3113609,0.54897845,0.3031672,0.90540475,0.4793319,0.3031672,0.49162248,0.4260728,0.6677872,0.22123012,0.6595935,0.5162036,0.84395194,0.10242135,0.8726299,0.53668785,serve
0.19255213,0.5858501,0.2130364,0.44246024,0.2581018,0.6063344,0.3113609,0.4260728,0.3113609,0.77020854,0.32365146,0.5694627,0.2949735,0.9176953,0.45065394,0.32365146,0.46704134,0.4260728,0.6350124,0.21713327,0.6350124,0.52030045,0.80708027,0.1065182,0.8398551,0.5080099,serve
0.2048427,0.58175325,0.23352067,0.4547508,0.28268293,0.58175325,0.31545776,0.43016967,0.33594203,0.757918,0.3564263,0.5243973,0.3031672,0.9013079,0.47523507,0.3113609,0.4793319,0.4178791,0.6350124,0.20893955,0.6309155,0.5162036,0.7947897,0.11471191,0.83166134,0.5162036,serve
0.20893955,0.5776564,0.24581124,0.45884764,0.27448922,0.5776564,0.33184516,0.42197597,0.32774833,0.7415306,0.39739484,0.47523507,0.3031672,0.8808236,0.4629445,0.30726406,0.47523507,0.39739484,0.64320606,0.20893955,0.63910925,0.52030045,0.7906928,0.09422764,0.8234677,0.5080099,serve
0.23352067,0.59814066,0.2581018,0.49162248,0.27448922,0.5776564,0.3728137,0.45884764,0.32365146,0.73333687,0.39739484,0.5448816,0.32774833,0.8726299,0.4793319,0.32774833,0.49571934,0.43016967,0.6309155,0.22532697,0.6227218,0.53668785,0.77840227,0.11880877,0.8193708,0.5162036,serve
0.23761754,0.6227218,0.26219866,0.49162248,0.26629552,0.5735596,0.34413573,0.43016967,0.32774833,0.73333687,0.47523507,0.49162248,0.33594203,0.8726299,0.48342878,0.3031672,0.49571934,0.40558854,0.63910925,0.22532697,0.6063344,0.53668785,0.7947897,0.13109933,0.81527394,0.52030045,serve
0.2130364,0.6350124,0.22942382,0.48752564,0.26629552,0.6022375,0.3482326,0.4547508,0.33594203,0.72514313,0.4711382,0.48342878,0.35232943,0.8726299,0.47523507,0.30726406,0.48342878,0.42197597,0.6309155,0.19664899,0.59814066,0.5407847,0.7906928,0.069646515,0.80708027,0.5284942,serve
0.25400496,0.6636903,0.2581018,0.5080099,0.2867798,0.6145281,0.3728137,0.48752564,0.36871687,0.7456274,0.49162248,0.5284942,0.4096854,0.8808236,0.48342878,0.32774833,0.5121068,0.4260728,0.6473029,0.22123012,0.6145281,0.5694627,0.78249913,0.13519618,0.8193708,0.5571721,serve
0.22532697,0.6513998,0.22532697,0.49571934,0.27039236,0.6227218,0.2949735,0.37691057,0.38510427,0.72924,0.39329797,0.3728137,0.43426654,0.86033934,0.46704134,0.31545776,0.48342878,0.42197597,0.62681866,0.2130364,0.59814066,0.5694627,0.77020854,0.07374337,0.79888654,0.5530753,serve
0.24171439,0.6759809,0.25400496,0.52030045,0.27858606,0.6473029,0.28268293,0.39739484,0.4260728,0.7210463,0.38100743,0.43836337,0.49981618,0.87672675,0.47523507,0.34413573,0.49571934,0.4711382,0.6350124,0.24990809,0.6022375,0.6063344,0.77020854,0.1433899,0.8111771,0.5776564,serve
0.2130364,0.68827146,0.20893955,0.52030045,0.27448922,0.6595935,0.24581124,0.3564263,0.43836337,0.7210463,0.33594203,0.43016967,0.561269,0.8685331,0.4629445,0.32365146,0.5080099,0.4547508,0.61043125,0.21713327,0.58175325,0.6022375,0.76201487,0.11471191,0.8234677,0.5735596,serve
0.18026158,0.70465887,0.19255213,0.5121068,0.29907033,0.6800778,0.23761754,0.35232943,0.48342878,0.70875573,0.2581018,0.33594203,0.561269,0.77840227,0.44655707,0.34413573,0.49162248,0.47523507,0.59814066,0.24171439,0.6063344,0.589947,0.7743054,0.11471191,0.83166134,0.58175325,serve
0.13109933,0.76201487,0.13109933,0.561269,0.28268293,0.7743054,0.2048427,0.39739484,0.43836337,0.7906928,0.19664899,0.38510427,0.53668785,0.7906928,0.43016967,0.38510427,0.46704134,0.5530753,0.61043125,0.26219866,0.6227218,0.6309155,0.8029834,0.13929303,0.87672675,0.65549666,serve
0.13519618,0.77840227,0.13519618,0.5694627,0.29907033,0.8193708,0.2130364,0.39329797,0.45884764,0.76201487,0.21713327,0.38100743,0.4547508,0.75382113,0.4096854,0.4260728,0.45884764,0.6022375,0.6022375,0.29907033,0.6513998,0.6595935,0.82756454,0.15977731,0.8849205,0.6759809,serve
0.13519618,0.7743054,0.1433899,0.5776564,0.2581018,0.7906928,0.22942382,0.39329797,0.3113609,0.70875573,0.25400496,0.38920113,0.33184516,0.6145281,0.40558854,0.4547508,0.44246024,0.589947,0.58175325,0.3113609,0.6473029,0.6513998,0.83166134,0.16797101,0.89311415,0.6923683,serve
0.12290562,0.7661117,0.17206787,0.5776564,0.23761754,0.78249913,0.25400496,0.4178791,0.3113609,0.70875573,0.19664899,0.42197597,0.3400389,0.6063344,0.40558854,0.46704134,0.43426654,0.6063344,0.56536585,0.3400389,0.62681866,0.6513998,0.8029834,0.20074585,0.8726299,0.6923683,serve
0.12290562,0.73743373,0.17206787,0.58175325,0.23761754,0.7743054,0.2581018,0.42197597,0.27858606,0.70875573,0.19255213,0.47523507,0.24581124,0.59404385,0.4260728,0.4793319,0.4547508,0.59814066,0.561269,0.33594203,0.6513998,0.6473029,0.8111771,0.21713327,0.8644362,0.68827146,serve
0.11471191,0.72924,0.16797101,0.5735596,0.22532697,0.77020854,0.2581018,0.41378227,0.24990809,0.6841746,0.17206787,0.4793319,0.19664899,0.5284942,0.43426654,0.46704134,0.4711382,0.61043125,0.5858501,0.32365146,0.6677872,0.6595935,0.82756454,0.2130364,0.87672675,0.70465887,serve
0.1065182,0.68827146,0.2130364,0.5776564,0.24990809,0.7661117,0.29907033,0.43426654,0.23352067,0.6595935,0.21713327,0.39329797,0.22942382,0.4547508,0.4547508,0.48342878,0.4793319,0.59814066,0.61043125,0.33184516,0.6841746,0.67188406,0.8480488,0.21713327,0.8849205,0.70875573,serve
0.13109933,0.6513998,0.22123012,0.5735596,0.25400496,0.757918,0.20893955,0.43016967,0.27039236,0.6063344,0.19255213,0.3031672,0.27039236,0.4260728,0.4629445,0.48752564,0.48752564,0.6022375,0.59814066,0.3482326,0.6841746,0.6800778,0.8398551,0.24990809,0.88901734,0.70465887,serve
0.1433899,0.618625,0.2130364,0.5530753,0.24581124,0.73333687,0.23352067,0.42197597,0.28268293,0.5571721,0.21713327,0.31955463,0.3113609,0.48752564,0.46704134,0.4793319,0.49162248,0.6145281,0.61043125,0.33184516,0.6964652,0.6841746,0.86033934,0.24990809,0.90540475,0.72924,serve
0.1515836,0.59404385,0.2130364,0.54897845,0.23761754,0.6923683,0.28268293,0.43016967,0.33594203,0.59814066,0.22532697,0.3031672,0.29087663,0.49981618,0.45884764,0.50391304,0.4711382,0.62681866,0.6063344,0.3482326,0.6800778,0.67188406,0.84395194,0.26629552,0.8808236,0.72514313,serve
0.1515836,0.5776564,0.21713327,0.5284942,0.23761754,0.6923683,0.2949735,0.43016967,0.35232943,0.5694627,0.2949735,0.36052316,0.3031672,0.45884764,0.4711382,0.4793319,0.49571934,0.61043125,0.618625,0.3482326,0.6841746,0.6841746,0.8644362,0.27448922,0.90540475,0.73743373,serve
0.13929303,0.5530753,0.22123012,0.49162248,0.23761754,0.6473029,0.29087663,0.39739484,0.31545776,0.5776564,0.29087663,0.29087663,0.29087663,0.4014917,0.45884764,0.4629445,0.4711382,0.6063344,0.6350124,0.31955463,0.6923683,0.6677872,0.8726299,0.29087663,0.8726299,0.7128526,serve
0.1433899,0.5243973,0.22532697,0.45884764,0.24171439,0.618625,0.3031672,0.33184516,0.31545776,0.58175325,0.30726406,0.27858606,0.31955463,0.45884764,0.48342878,0.4629445,0.47523507,0.56536585,0.64320606,0.3031672,0.6923683,0.6636903,0.8808236,0.3031672,0.8849205,0.7210463,serve
0.13109933,0.49981618,0.22942382,0.4178791,0.24171439,0.61043125,0.3400389,0.36871687,0.33184516,0.5530753,0.33184516,0.3728137,0.3400389,0.48342878,0.4793319,0.4260728,0.48752564,0.561269,0.6513998,0.30726406,0.6841746,0.64320606,0.8849205,0.3113609,0.8644362,0.7128526,serve
